,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
33897,'094361C0100',094361C010035837,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4361,1,C,0,Urbana,2,263,20,7,2,5,13,101,3,4,7,0,2,1,2,0,0,0,0,3,0,8,441,702,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:45
33898,'094361C0200',094361C020035838,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4361,2,C,0,Urbana,2,261,25,5,0,2,6,111,7,1,1,0,2,1,0,0,1,0,0,1,0,8,432,701,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:52
33899,'094362B0100',094362B010032680,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4362,1,B,0,Urbana,2,216,29,8,3,5,9,86,0,3,1,0,4,1,0,0,0,0,0,2,0,5,372,582,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:53
33900,'094362C0100',094362C010041877,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4362,1,C,0,Urbana,2,198,34,6,2,3,6,67,3,1,1,0,2,1,0,0,1,0,0,1,0,7,333,582,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:00
33901,'094362C0200',094362C020039122,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4362,2,C,0,Urbana,2,194,47,7,3,2,11,88,5,2,0,0,1,0,0,0,2,0,0,1,0,6,369,582,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:50
33902,'094363B0100',094363B010032839,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4363,1,B,0,Urbana,2,308,31,6,2,2,14,66,3,0,0,0,1,2,0,1,0,0,0,1,0,4,441,666,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:12
33903,'094363C0100',094363C010035997,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4363,1,C,0,Urbana,2,289,43,7,5,2,14,76,4,0,5,0,3,0,0,0,1,0,0,0,0,2,451,666,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:20
33904,'094364B0100',094364B010032840,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4364,1,B,0,Urbana,2,270,30,6,1,3,6,55,2,0,0,0,2,1,0,0,1,0,0,1,0,4,382,610,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:36
33905,'094364C0100',094364C010035998,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4364,1,C,0,Urbana,2,276,36,8,6,3,10,56,3,1,2,0,4,1,0,0,0,0,0,1,1,3,411,609,Recuento (Para recuento (SRA)),I-D,10/06/2021 00:06:51
33906,'094365B0100',094365B010032841,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4365,1,B,0,Urbana,2,291,38,10,2,1,12,49,2,3,2,0,8,0,0,0,0,0,0,2,1,3,424,622,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:13
33907,'094365C0200',094365C020037096,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4365,2,C,0,Urbana,2,282,35,8,6,0,8,57,0,3,2,0,4,1,0,0,0,0,0,0,0,3,409,621,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:21
33908,'094365C0100',094365C010036000,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4365,1,C,0,Urbana,2,281,36,4,6,3,12,43,1,2,4,0,3,3,0,0,0,0,0,0,0,7,405,621,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:28
